ID,Nombre,Publicado,"Descripción corta",Descripción,"Precio normal"
229,"Anillo Oro Amarillo Minimalista",1,"Anillo en oro de 18 quilates certificado, diseño exclusivo.","<ul>\n 	<li>Hecho en Colombia.</li>\n 	<li>Oro de 18 quilates certificado.</li>\n</ul>",
250,"Anillo Oro Amarillo Minimalista - 4.0",1,,,1200000
251,"Anillo Oro Amarillo Minimalista - 4.3",1,,,1200000
252,"Anillo Oro Amarillo Minimalista - 4.5",1,,,1200000
253,"Anillo Oro Amarillo Minimalista - 5.0",1,,,1200000
254,"Anillo Oro Amarillo Minimalista - 5.3",1,,,1200000
255,"Anillo Oro Amarillo Minimalista - 5.5",1,,,1200000
256,"Anillo Oro Amarillo Minimalista - 6.0",1,,,1200000
257,"Anillo Oro Amarillo Minimalista - 6.3",1,,,1200000
258,"Anillo Oro Amarillo Minimalista - 6.5",1,,,1200000
259,"Anillo Oro Amarillo Minimalista - 7.0",1,,,1200000
260,"Anillo Oro Amarillo Minimalista - 7.3",1,,,1200000
261,"Anillo Oro Amarillo Minimalista - 7.5",1,,,1500000
262,"Anillo Oro Amarillo Minimalista - 8.0",1,,,1800000
263,"Anillo Oro Amarillo Minimalista - 8.3",1,,,1800000
264,"Anillo Oro Amarillo Minimalista - 8.5",1,,,1800000
265,"Anillo Oro Amarillo Minimalista - 9.0",1,,,1800000
266,"Anillo Oro Amarillo Minimalista - 9.3",1,,,1800000
267,"Anillo Oro Amarillo Minimalista - 9.5",1,,,1800000
268,"Anillo Oro Amarillo Minimalista - 10.0",1,,,1800000
533,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,"Pareja de anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V\n\nHecho en Colombia con materiales certificados.\n\n0.22 ct de diamante natural en total\n\nCOLOR DE DIAMANTE I-H <a style=""font-size: 16px; background-color: #ffffff;"" href=""https://ewajoyeria.com/index.php/2024/03/28/color-y-quilates-de-los-diamantes-utilizados-en-ewa-joyeria/"">¿Qué significa esto?</a>\n\nConoce nuestro oro: <a href=""https://ewajoyeria.com/index.php/oro-responsable/"">ORO RESPONSABLE</a>\n\n¿Está interesado en utilizar diamantes de laboratorio?, <a href=""https://ewajoyeria.com/index.php/diamantes-certificados/"">comuníquese con nosotros</a>\n\n<em>Pair of wedding rings in yellow gold with diamonds, FRENCH V style</em>\n\n<em>Made in Colombia with certified materials.</em>\n\n<em>0.22 ct of natural diamond in total</em>\n\n<em>DIAMOND COLOR I-H – What does this mean?</em>\n\n<em>Learn about our gold: RESPONSIBLE GOLD</em>\n\n<em>Interested in using lab-grown diamonds? Contact us.</em>","Pareja de anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V\n\nHecho en Colombia con materiales certificados.\n\n0.22 ct de diamante natural en total\n\n¿No sabe la medida de su anillo?, con su celular de clic en este link y siga está guía (en inglés) <a href=""https://ringsizer.moonmagic.com/"">https://ringsizer.moonmagic.com/ </a>\n\nGARANTÍA:\n\nEWA joyería garantiza los materiales y piedras utilizadas de por vida.\n\nEsto incluye descuentos especiales para todos los servicios de mantenimiento ajuste y reparación (algunos gratuitos sujetos a consideración).\n\nPara consultar nuestra garantía en detalle, consulte: <a href=""https://ewajoyeria.com/index.php/garantia-de-joyeria/"">EWA GARANTÍA</a>",
534,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4300000
535,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4300000
536,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4300000
537,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4300000
538,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4300000
539,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4300000
540,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4300000
541,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4300000
542,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4300000
543,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4300000
544,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4500000
545,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4700000
546,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4700000
547,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4700000
548,"Anillos de matrimonio en oro amarillo con diamantes estilo FRANCÉS V",1,,,4700000
556,"Argollas de Matrimonio Oro Blanco con Diamantes",1,"Argollas de matrimonio en oro blanco de 19 quilates.\n\nDiseño 3D, exclusivo.","<ul>\n 	<li>Hecho en Colombia.</li>\n 	<li>Oro Blanco de 18 Quilates.</li>\n</ul>",
557,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,4900000
558,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,4900000
559,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,4900000
560,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,4900000
561,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,4900000
562,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,4900000
563,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,4900000
564,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,4900000
565,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,4900000
566,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,4900000
567,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,4900000
568,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,5200000
569,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,5500000
570,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,5500000
571,"Argollas de Matrimonio Oro Blanco con Diamantes",1,,,5500000
579,"Anillo oro blanco y circón suizo Tous Mujer",1,"Anillo oro blanco y circón suizo Tous Mujer.","<ul>\n 	<li>Hecho en Colombia.</li>\n 	<li>Oro blanco certificado con <strong>espectrometría</strong>.</li>\n 	<li>Piedra circón.</li>\n 	<li>Acabados con rodium.</li>\n</ul>",
580,"Anillo oro blanco y circón suizo Tous Mujer - 4.0",1,,,2000000
581,"Anillo oro blanco y circón suizo Tous Mujer - 4.3",1,,,2000000
582,"Anillo oro blanco y circón suizo Tous Mujer - 4.5",1,,,2000000
583,"Anillo oro blanco y circón suizo Tous Mujer - 5.0",1,,,2000000
584,"Anillo oro blanco y circón suizo Tous Mujer - 5.3",1,,,2000000
585,"Anillo oro blanco y circón suizo Tous Mujer - 5.5",1,,,2000000
586,"Anillo oro blanco y circón suizo Tous Mujer - 6.0",1,,,2000000
587,"Anillo oro blanco y circón suizo Tous Mujer - 6.3",1,,,2000000
588,"Anillo oro blanco y circón suizo Tous Mujer - 6.5",1,,,2000000
589,"Anillo oro blanco y circón suizo Tous Mujer - 7.0",1,,,2000000
590,"Anillo oro blanco y circón suizo Tous Mujer - 7.3",1,,,2000000
591,"Anillo oro blanco y circón suizo Tous Mujer - 7.5",1,,,2500000
592,"Anillo oro blanco y circón suizo Tous Mujer - 8.0",1,,,2800000
593,"Anillo oro blanco y circón suizo Tous Mujer - 8.3",1,,,2800000
594,"Anillo oro blanco y circón suizo Tous Mujer - 8.5",1,,,2800000
595,"Anillo oro blanco y circón suizo Tous Mujer - 9.0",1,,,2800000
596,"Anillo oro blanco y circón suizo Tous Mujer - 9.3",1,,,2800000
597,"Anillo oro blanco y circón suizo Tous Mujer - 9.5",1,,,2800000
598,"Anillo oro blanco y circón suizo Tous Mujer - 10.0",1,,,2800000
